regID,regAliasOKATO,regAliasISOCode,regAliasTheConstitutionalName,regAliasTableau,regAliasDatawrapper,regAliasDatwrapperSquare,regTileColumn,regTileRow,regAliasShort2Letters,regAliasShort3Letters,regFedOkrug,regMask,regAntimask,regAliasDeathID
43,33000000000,RU-KIR,Кировская область,Kirov,Кировская область,Кировская область,7,3,КИ,КИР,ПФО,Киро,,1133
44,34000000000,RU-KOS,Костромская область,Kostroma,Костромская область,Костромская область,5,3,КС,КОС,ЦФО,Кост,,1134
45,37000000000,RU-KGN,Курганская область,Kurgan,Курганская область,Курганская область,10,4,КН,КГН,УФО,Кург,,1137
46,38000000000,RU-KRS,Курская область,Kursk,Курская область,Курская область,2,6,КУ,КУР,ЦФО,Курс,,1138
47,41000000000,RU-LEN,Ленинградская область,Leningrad Oblast,Ленинградская область,Ленинградская область,1,1,ЛН,ЛО,СЗФО,Лени,,1141
48,42000000000,RU-LIP,Липецкая область,Lipetsk,Липецкая область,Липецкая область,3,6,ЛП,ЛИП,ЦФО,Лип,,1142
49,44000000000,RU-MAG,Магаданская область,Magadanskaya Oblast',Магаданская область,Магаданская область,15,2,МГ,МАГ,ДФО,Маг,,1144
50,46000000000,RU-MOS,Московская область,Moskovsskaya,Московская область,Московская область,3,4,МО,МО,ЦФО,Москов,,1146
51,47000000000,RU-MUR,Мурманская область,Murmansk,Мурманская область,Мурманская область,2,0,МУ,МУР,СЗФО,Мурм,,1147
52,22000000000,RU-NIZ,Нижегородская область,Nizhny Novgorod,Нижегородская область,Нижегородская область,5,4,НЖ,НИЖ,ПФО,ижег,,1122
53,49000000000,RU-NGR,Новгородская область,Novgorod,Новгородская область,Новгородская область,2,2,НВ,НВГ,СЗФО,Новг,,1149
54,50000000000,RU-NVS,Новосибирская область,Novosibirsk,Новосибирская область,Новосибирская область,11,4,НС,НСК,СФО,Ново,,1150
55,52000000000,RU-OMS,Омская область,Omsk,Омская область,Омская область,10,5,ОМ,ОМС,СФО,Омск,Томск, ромск,1152
56,53000000000,RU-ORE,Оренбургская область,Orenburg,Оренбургская область,Оренбургская область,7,6,ОБ,ОРБ,ПФО,Орен,,1153
57,54000000000,RU-ORL,Орловская область,Orlovskaya,Орловская область,Орловская область,2,5,ОР,ОРЛ,ЦФО,Орл,,1154
58,56000000000,RU-PNZ,Пензенская область,Penza,Пензенская область,Пензенская область,5,6,ПН,ПЕНЗ,ПФО,Пенз,,1156
59,57000000000,RU-PER,Пермский край,Perm,Пермский край,Пермский край,8,3,ПМ,ПЕР,ПФО,Перм,,1157
60,58000000000,RU-PSK,Псковская область,Pskov,Псковская область,Псковская область,1,3,ПС,ПСК,СЗФО,Пск,,1158
61,60000000000,RU-ROS,Ростовская область,Rostov,Ростовская область,Ростовская область,4,8,РВ,РСТ,ЮФО,Росто,,1160
62,61000000000,RU-RYA,Рязанская область,Ryazan,Рязанская область,Рязанская область,4,5,РЗ,РЯЗ,ЦФО,Ряз,,1161
63,36000000000,RU-SAM,Самарская область,Samara,Самарская область,Самарская область,7,5,СА,САМ,ПФО,Самар,,1136
64,63000000000,RU-SAR,Саратовская область,Saratov,Саратовская область,Саратовская область,6,6,СР,САР,ПФО,Сарат,,1163
65,64000000000,RU-SAK,Сахалинская область,Sakhalin,Сахалинская область,Сахалинская область,16,3,СХ,САХ,ДФО,Сахал,,1164
66,65000000000,RU-SVE,Свердловская область,Sverdlovsk,Свердловская область,Свердловская область,9,4,СВ,СВР,УФО,Сверд,,1165
67,66000000000,RU-SMO,Смоленская область,Smolensk,Смоленская область,Смоленская область,1,4,СМ,СМЛ,ЦФО,Смоле,,1166
68,68000000000,RU-TAM,Тамбовская область,Tambov,Тамбовская область,Тамбовская область,4,6,ТБ,ТМБ,ЦФО,Тамбо,,1168
69,28000000000,RU-TVE,Тверская область,Tver,Тверская область,Тверская область,2,3,ТВ,ТВР,ЦФО,Твер,,1128
70,69000000000,RU-TOM,Томская область,Tomsk,Томская область,Томская область,11,3,ТМ,ТОМ,СФО,Томск,,1169
