regID;year;population
10;2013;636932
10;2014;634402
10;2015;632533
10;2016;629875
10;2017;627083
10;2018;622484
10;2019;618056
11;1926;226000
11;1959;815799
11;1970;964802
11;1979;1118421
11;1989;1261024
11;1990;1248891
11;1991;1239885
11;1992;1222134
11;1993;1206079
11;1994;1192063
11;1995;1156750
11;1996;1132650
11;1997;1115737
11;1998;1095723
11;1999;1077990
11;2000;1057873
11;2001;1042880
11;2002;1029644
11;2003;1016040
11;2004;999857
11;2005;982890
11;2006;962952
11;2007;944816
11;2008;934867
11;2009;922321
11;2010;911977
11;2011;899215
11;2012;889837
11;2013;880639
11;2014;872057
11;2015;864424
11;2016;856831
11;2017;850554
11;2018;840873
11;2019;830235
12;1926;489000
12;1959;647680
12;1970;684748
12;1979;702744
12;1989;749386
12;1990;753698
12;1991;755359
12;1992;757351
12;1993;758363
12;1994;757680
12;1995;757834
12;1996;756329
12;1997;753448
12;1998;750454
12;1999;747446
12;2000;743828
12;2001;739091
12;2002;732774
12;2003;726730
12;2004;722703
12;2005;718260
12;2006;713422
12;2007;708546
12;2008;704949
12;2009;701609
12;2010;699389
12;2011;695482
12;2012;692435
12;2013;690349
12;2014;688686
12;2015;687435
12;2016;685865
12;2017;684684
12;2018;682333
12;2019;680380
13;1926;1259000
13;1959;1001994
13;1970;1029562
13;1979;990617
13;1989;964132
13;1990;963778
13;1991;962340
13;1992;960443
13;1993;960671
13;1994;958247
13;1995;954348
13;1996;949061
13;1997;942694
13;1998;935013
13;1999;927437
13;2000;918443
13;2001;908152
13;2002;897136
13;2003;886165
13;2004;878299
13;2005;871848
13;2006;864704
13;2007;857903
13;2008;851658
13;2009;844962
13;2010;839184
13;2011;833263
13;2012;825454
13;2013;818566
13;2014;812156
13;2015;808888
13;2016;807453
13;2017;808541
13;2018;805056
13;2019;795504
14;1926;287000
14;1959;487343
14;1970;664123
14;1979;838808
14;1989;1081408
14;1990;1111480
14;1991;1118983
14;1992;1100342
14;1993;1079678
14;1994;1064617
14;1995;1037155
14;1996;1020320
14;1997;1010110
14;1998;994966
14;1999;977117
14;2000;962507
14;2001;957478
14;2002;951478
14;2003;948636
14;2004;949969
14;2005;953170
14;2006;954394
14;2007;956099
14;2008;958929
14;2009;958056
14;2010;958338
14;2011;958258
14;2012;955859
14;2013;955580
14;2014;954803
14;2015;956896
14;2016;959689
14;2017;962835
14;2018;964330
14;2019;967009
15;1926;287000
15;1959;450581
15;1970;552581
15;1979;596921
15;1989;634009
15;1990;646348
15;1991;652114
15;1992;705019
15;1993;661783
15;1994;661144
15;1995;670701
15;1996;677237
15;1997;681778
15;1998;681150
15;1999;684130
15;2000;693564
15;2001;704351
15;2002;709630
15;2003;709671
15;2004;707679
15;2005;706393
15;2006;706896
15;2007;708800
15;2008;711509
15;2009;711661
15;2010;711725
15;2011;712481
15;2012;709032
15;2013;706123
15;2014;703977
15;2015;705270
15;2016;703745
15;2017;703262
15;2018;701765
15;2019;699253
16;1926;2588000
16;1959;2850417
16;1970;3131238
16;1979;3435644
