reg_ID;reg_alias_the_constitutional_name;reg_alias_human_name;reg_alias_okato;reg_alias_iso_code;reg_alias_tableau;reg_alias_datawrapper;reg_alias_datwrapper_square;reg_tile_column;reg_tile_row;reg_alias_short_2letters;reg_alias_short_3letters;reg_fo;reg_mask;reg_antimask;reg_alias_rosbris_ID;reg_alias_duckconsulting;reg_alias_fedstat;reg_alias_fias_name;reg_alias_fias_id;reg_alias_rossstat_order;reg_level;reg_type;reg_status;reg_alias_citytable
9;Карачаево-Черкесская Республика;Карачаево-Черкесская Республика;91000000000;RU-KC;Karachay-Cherkess;Карачаево-Черкесская республика;Карачаево-Черкесия;3;9;КЧ;КЧР;СКФО;Кара;-;1191;Карачаево-Черкесия;        91000000000 Карачаево-Черкесская Республика;Карачаево-Черкесская Республика;9;47;2;Регион;Республика;Карачаево-Черкесская
42;Кемеровская область — Кузбасс;Кемеровская область;32000000000;RU-KEM;Kemerovo;Кемеровская область;Кемеровская область — Кузбасс;12;3;КЕ;КЕМ;СФО;Кеме;-;1132;Кемеровская область;        32000000000 Кемеровская область;Кемеровская Область;42;81;2;Регион;Область;Кемеровская
43;Кировская область;Кировская область;33000000000;RU-KIR;Kirov;Кировская область;Кировская область;7;3;КИ;КИР;ПФО;Киро;-;1133;Кировская область;        33000000000 Кировская область;Кировская Область;43;59;2;Регион;Область;Кировская
44;Костромская область;Костромская область;34000000000;RU-KOS;Kostroma;Костромская область;Костромская область;5;3;КС;КОС;ЦФО;Кост;-;1134;Костромская область;        34000000000 Костромская область;Костромская Область;44;9;2;Регион;Область;Костромская
23;Краснодарский край;Краснодарский край;3000000000;RU-KDA;Krasnodar;Краснодарский край;Краснодарский край;3;8;КД;КДА;ЮФО;Краснодар;-;1103;Краснодарский край;        03000000000 Краснодарский край;Краснодарский Край;23;38;2;Регион;Край;Краснодарский
24;Красноярский край;Красноярский край;4000000000;RU-KYA;Krasnoyarsk;Красноярский край;Красноярский край;12;2;КЯ;КЯР;СФО;Краснояр;-;1104;Красноярский край;        04000000000 Красноярский край;Красноярский Край;24;79;2;Регион;Край;Красноярский
45;Курганская область;Курганская область;37000000000;RU-KGN;Kurgan;Курганская область;Курганская область;10;4;КН;КГН;УФО;Кург;-;1137;Курганская область;        37000000000 Курганская область;Курганская Область;45;67;2;Регион;Область;Курганская
46;Курская область;Курская область;38000000000;RU-KRS;Kursk;Курская область;Курская область;2;6;КУ;КУР;ЦФО;Курс;-;1138;Курская область;        38000000000 Курская область;Курская Область;46;10;2;Регион;Область;Курская
47;Ленинградская область;Ленинградская область;41000000000;RU-LEN;Leningrad Oblast;Ленинградская область;Ленинградская область;1;1;ЛН;ЛО;СЗФО;Лени;-;1141;Ленинградская область;        41000000000 Ленинградская область;Ленинградская Область;47;29;2;Регион;Область;Ленинградская
48;Липецкая область;Липецкая область;42000000000;RU-LIP;Lipetsk;Липецкая область;Липецкая область;3;6;ЛП;ЛИП;ЦФО;Лип;-;1142;Липецкая область;        42000000000 Липецкая область;Липецкая Область;48;11;2;Регион;Область;Липецкая
49;Магаданская область;Магаданская область;44000000000;RU-MAG;Magadanskaya Oblast';Магаданская область;Магаданская область;15;2;МГ;МАГ;ДФО;Маг;-;1144;Магаданская область;        44000000000 Магаданская область;Магаданская Область;49;92;2;Регион;Область;Магаданская
